date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,sh,sot,dist,fk,pk,pkatt,season,team,venue_code,opp_code,hour,day_code,target
2020-09-21,20:15,Matchweek 2,Mon,Away,W,3.0,1.0,Wolves,1.9,1.0,65.0,,Fernandinho,4-2-3-1,Andre Marriner,Match Report,13.0,8.0,20.3,2.0,1.0,1.0,2021,Manchester City,0,22,20,0,1
2020-09-27,16:30,Matchweek 3,Sun,Home,L,2.0,5.0,Leicester City,0.9,2.6,72.0,,Fernandinho,4-2-3-1,Michael Oliver,Match Report,16.0,5.0,18.8,1.0,0.0,0.0,2021,Manchester City,1,10,16,6,0
2020-10-03,17:30,Matchweek 4,Sat,Away,D,1.0,1.0,Leeds United,1.5,1.7,48.0,,Kevin De Bruyne,4-3-3,Mike Dean,Match Report,23.0,1.0,17.6,1.0,0.0,0.0,2021,Manchester City,0,9,17,5,0
2020-10-17,17:30,Matchweek 5,Sat,Home,W,1.0,0.0,Arsenal,1.5,0.9,59.0,,Raheem Sterling,3-5-2,Chris Kavanagh,Match Report,13.0,5.0,16.8,0.0,0.0,0.0,2021,Manchester City,1,0,17,5,1
2020-10-24,12:30,Matchweek 6,Sat,Away,D,1.0,1.0,West Ham,1.1,0.5,70.0,,Raheem Sterling,4-3-3,Anthony Taylor,Match Report,14.0,7.0,20.3,1.0,0.0,0.0,2021,Manchester City,0,21,12,5,0
2020-10-31,12:30,Matchweek 7,Sat,Away,W,1.0,0.0,Sheffield Utd,1.5,0.5,64.0,,Kevin De Bruyne,4-3-3,Michael Oliver,Match Report,16.0,8.0,18.3,2.0,0.0,0.0,2021,Manchester City,0,16,12,5,1
2020-11-08,16:30,Matchweek 8,Sun,Home,D,1.0,1.0,Liverpool,1.6,1.4,54.0,,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,6.0,2.0,19.5,0.0,0.0,1.0,2021,Manchester City,1,11,16,6,0
2020-11-21,17:30,Matchweek 9,Sat,Away,L,0.0,2.0,Tottenham,1.3,0.7,67.0,,Kevin De Bruyne,4-3-3,Mike Dean,Match Report,21.0,5.0,15.6,0.0,0.0,0.0,2021,Manchester City,0,18,17,5,0
2020-11-28,15:00,Matchweek 10,Sat,Home,W,5.0,0.0,Burnley,2.8,0.4,68.0,,Kevin De Bruyne,4-2-3-1,Lee Mason,Match Report,19.0,7.0,15.8,0.0,0.0,0.0,2021,Manchester City,1,4,15,5,1
2020-12-05,15:00,Matchweek 11,Sat,Home,W,2.0,0.0,Fulham,3.0,0.2,69.0,,Kevin De Bruyne,4-2-3-1,Jonathan Moss,Match Report,15.0,5.0,16.0,0.0,1.0,1.0,2021,Manchester City,1,8,15,5,1
2020-12-12,17:30,Matchweek 12,Sat,Away,D,0.0,0.0,Manchester Utd,1.2,1.0,54.0,,Fernandinho,4-2-3-1,Chris Kavanagh,Match Report,9.0,2.0,17.4,1.0,0.0,0.0,2021,Manchester City,0,13,17,5,0
2020-12-15,20:00,Matchweek 13,Tue,Home,D,1.0,1.0,West Brom,1.9,0.3,77.0,,Kevin De Bruyne,4-2-3-1,Peter Bankes,Match Report,26.0,7.0,16.6,2.0,0.0,0.0,2021,Manchester City,1,20,20,1,0
2020-12-19,15:00,Matchweek 14,Sat,Away,W,1.0,0.0,Southampton,1.1,1.0,52.0,,Kevin De Bruyne,4-2-3-1,Mike Dean,Match Report,11.0,5.0,19.1,0.0,0.0,0.0,2021,Manchester City,0,17,15,5,1
2020-12-26,20:00,Matchweek 15,Sat,Home,W,2.0,0.0,Newcastle Utd,1.8,0.3,75.0,,Kevin De Bruyne,4-3-3◆,Andre Marriner,Match Report,11.0,6.0,12.3,0.0,0.0,0.0,2021,Manchester City,1,14,20,5,1
2021-01-03,16:30,Matchweek 17,Sun,Away,W,3.0,1.0,Chelsea,2.4,0.8,46.0,,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,18.0,6.0,14.6,1.0,0.0,0.0,2021,Manchester City,0,5,16,6,1
2021-01-13,18:00,Matchweek 18,Wed,Home,W,1.0,0.0,Brighton,2.6,0.2,65.0,,Kevin De Bruyne,4-3-3,Darren England,Match Report,15.0,6.0,16.5,0.0,0.0,1.0,2021,Manchester City,1,3,18,2,1
2021-01-17,19:15,Matchweek 19,Sun,Home,W,4.0,0.0,Crystal Palace,0.9,0.0,72.0,,Fernandinho,4-3-3,Lee Mason,Match Report,13.0,6.0,17.8,2.0,0.0,0.0,2021,Manchester City,1,6,19,6,1
2021-01-20,18:00,Matchweek 1,Wed,Home,W,2.0,0.0,Aston Villa,4.3,0.8,68.0,,Kevin De Bruyne,4-3-3,Jonathan Moss,Match Report,27.0,8.0,14.8,0.0,1.0,1.0,2021,Manchester City,1,1,18,2,1
2021-01-26,20:15,Matchweek 20,Tue,Away,W,5.0,0.0,West Brom,2.0,0.4,77.0,,Raheem Sterling,4-3-3,Chris Kavanagh,Match Report,18.0,7.0,17.0,0.0,0.0,0.0,2021,Manchester City,0,20,20,1,1
2021-01-30,15:00,Matchweek 21,Sat,Home,W,1.0,0.0,Sheffield Utd,1.2,0.2,74.0,,Fernandinho,4-3-3,David Coote,Match Report,10.0,5.0,16.2,0.0,0.0,0.0,2021,Manchester City,1,16,15,5,1
2021-02-03,18:00,Matchweek 22,Wed,Away,W,2.0,0.0,Burnley,2.6,0.1,74.0,,Raheem Sterling,4-3-3,Martin Atkinson,Match Report,13.0,6.0,15.0,0.0,0.0,0.0,2021,Manchester City,0,4,18,2,1
2021-02-07,16:30,Matchweek 23,Sun,Away,W,4.0,1.0,Liverpool,3.1,1.3,44.0,,Raheem Sterling,4-3-3,Michael Oliver,Match Report,7.0,5.0,12.8,0.0,0.0,1.0,2021,Manchester City,0,11,16,6,1
2021-02-13,17:30,Matchweek 24,Sat,Home,W,3.0,0.0,Tottenham,2.9,0.6,61.0,,Raheem Sterling,4-3-3,Paul Tierney,Match Report,14.0,5.0,15.2,0.0,1.0,1.0,2021,Manchester City,1,18,17,5,1
2021-02-17,20:15,Matchweek 16,Wed,Away,W,3.0,1.0,Everton,1.5,1.0,71.0,,Raheem Sterling,4-3-3,Andre Marriner,Match Report,16.0,7.0,17.0,0.0,0.0,0.0,2021,Manchester City,0,7,20,2,1
2021-02-21,16:30,Matchweek 25,Sun,Away,W,1.0,0.0,Arsenal,2.0,0.3,56.0,,Fernandinho,4-3-3,Jonathan Moss,Match Report,15.0,3.0,15.4,0.0,0.0,0.0,2021,Manchester City,0,0,16,6,1
2021-02-27,12:30,Matchweek 26,Sat,Home,W,2.0,1.0,West Ham,0.6,1.6,63.0,,Fernandinho,4-3-3,Michael Oliver,Match Report,10.0,3.0,19.3,0.0,0.0,0.0,2021,Manchester City,1,21,12,5,1
2021-03-02,20:00,Matchweek 29,Tue,Home,W,4.0,1.0,Wolves,2.3,0.4,73.0,,Kevin De Bruyne,4-3-3,Chris Kavanagh,Match Report,21.0,10.0,13.9,0.0,0.0,0.0,2021,Manchester City,1,22,20,1,1
2021-03-07,16:30,Matchweek 27,Sun,Home,L,0.0,2.0,Manchester Utd,1.5,1.6,66.0,,Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,23.0,6.0,18.1,1.0,0.0,0.0,2021,Manchester City,1,13,16,6,0
2021-03-10,18:00,Matchweek 33,Wed,Home,W,5.0,2.0,Southampton,2.7,1.8,57.0,,Fernandinho,4-3-3,Jonathan Moss,Match Report,17.0,10.0,15.7,0.0,0.0,0.0,2021,Manchester City,1,17,18,2,1
